TEMA;DIFICULDADE;Pergunta;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa Correta;Audio;ImagemVideo
Pokédex;Fácil;Quem é esse Pokémon?;Ponyta;Kakuna;Vileplume;Butterfree;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_butterfree.png
Pokédex;Fácil;Quem é esse Pokémon?;Weedle;Seel;Kingler;Charizard;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_weedle.png
Pokédex;Fácil;Quem é esse Pokémon?;Tentacruel;Kakuna;Gloom;Clefable;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_kakuna.png
Pokédex;Fácil;Quem é esse Pokémon?;Magikarp;Dodrio;Beedrill;Voltorb;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_beedrill.png
Pokédex;Fácil;Quem é esse Pokémon?;Ekans;Arbok;Venusaur;Pidgey;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_pidgey.png
Pokédex;Fácil;Quem é esse Pokémon?;Pidgeotto;Eevee;Golbat;Magmar;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_pidgeotto.png
Pokédex;Fácil;Quem é esse Pokémon?;Tentacool;Pidgeot;Moltres;Ivysaur;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_pidgeot.png
Pokédex;Fácil;Quem é esse Pokémon?;Starmie;Magmar;Rattata;Jynx;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_rattata.png
Pokédex;Fácil;Quem é esse Pokémon?;Poliwhirl;Sandslash;Cloyster;Raticate;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_raticate.png
Pokédex;Fácil;Quem é esse Pokémon?;Spearow;Dodrio;Oddish;Slowbro;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_spearow.png
Pokédex;Fácil;Quem é esse Pokémon?;Spearow;Fearow;Rattata;Nidorino;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_fearow.png
Pokédex;Fácil;Quem é esse Pokémon?;Alakazam;Voltorb;Ekans;Paras;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_ekans.png
Pokédex;Fácil;Quem é esse Pokémon?;Ditto;Venusaur;Staryu;Arbok;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_arbok.png
Pokédex;Fácil;Quem é esse Pokémon?;Pikachu;Seaking;Tentacool;Arbok;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_pikachu.png
Pokédex;Fácil;Quem é esse Pokémon?;Arcanine;Raichu;Wigglytuff;Venusaur;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_raichu.png
Pokédex;Fácil;Quem é esse Pokémon?;Ivysaur;Charmander;Sandshrew;Seadra;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_sandshrew.png
Pokédex;Fácil;Quem é esse Pokémon?;Seadra;Gyarados;Clefable;Sandslash;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_sandslash.png
Pokédex;Fácil;Quem é esse Pokémon?;Nidoran F;Dratini;Jolteon;Grimer;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_nidoranf.png
Pokédex;Fácil;Quem é esse Pokémon?;Seaking;Nidorina;Hitmonchan;Kabutops;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_nidorina.png
Pokédex;Fácil;Quem é esse Pokémon?;Nidoking;Flareon;Nidoqueen;Moltres;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_nidoqueen.png
Pokédex;Fácil;Quem é esse Pokémon?;Eevee;Spearow;Starmie;Nidoran M;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_nidoranm.png
Pokédex;Fácil;Quem é esse Pokémon?;Nidorino;Mewtwo;Tangela;Omastar;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_nidorino.png
Pokédex;Fácil;Quem é esse Pokémon?;Gastly;Nidoking;Voltorb;Drowzee;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_nidoking.png
Pokédex;Fácil;Quem é esse Pokémon?;Grimer;Rhyhorn;Clefairy;Paras;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_clefairy.png
Pokédex;Fácil;Quem é esse Pokémon?;Tentacool;Weezing;Mr. Mime;Clefable;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_clefable.png
Pokédex;Fácil;Quem é esse Pokémon?;Vulpix;Victreebel;Mew;Horsea;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_vulpix.png
Pokédex;Fácil;Quem é esse Pokémon?;Machoke;Ninetales;Flareon;Nidoran F;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_ninetales.png
Pokédex;Fácil;Quem é esse Pokémon?;Onix;Parasect;Jigglypuff;Sandslash;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_jigglypuff.png
Pokédex;Fácil;Quem é esse Pokémon?;Kabuto;Persian;Koffing;Wigglytuff;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_wigglytuff.png
Pokédex;Fácil;Quem é esse Pokémon?;Zubat;Pidgeot;Golduck;Voltorb;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_zubat.png
Pokédex;Fácil;Quem é esse Pokémon?;Articuno;Golbat;Farfetch'd;Dodrio;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_golbat.png
Pokédex;Fácil;Quem é esse Pokémon?;Exeggcute;Nidorina;Oddish;Gyarados;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_oddish.png
Pokédex;Fácil;Quem é esse Pokémon?;Golbat;Starmie;Horsea;Gloom;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_gloom.png
Pokédex;Fácil;Quem é esse Pokémon?;Vileplume;Butterfree;Chansey;Farfetch'd;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_vileplume.png
Pokédex;Fácil;Quem é esse Pokémon?;Meowth;Paras;Psyduck;Gloom;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_paras.png
Pokédex;Fácil;Quem é esse Pokémon?;Raticate;Jolteon;Parasect;Tentacruel;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_parasect.png
Pokédex;Fácil;Quem é esse Pokémon?;Arbok;Growlithe;Zubat;Venonat;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_venonat.png
Pokédex;Fácil;Quem é esse Pokémon?;Venomoth;Pinsir;Vaporeon;Gastly;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_venomoth.png
Pokédex;Fácil;Quem é esse Pokémon?;Aerodactyl;Diglett;Mew;Tangela;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_diglett.png
Pokédex;Fácil;Quem é esse Pokémon?;Ditto;Poliwrath;Dugtrio;Weezing;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_dugtrio.png
Pokédex;Fácil;Quem é esse Pokémon?;Krabby;Slowbro;Drowzee;Meowth;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_meowth.png
Pokédex;Fácil;Quem é esse Pokémon?;Persian;Geodude;Articuno;Dewgong;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_persian.png
Pokédex;Fácil;Quem é esse Pokémon?;Marowak;Psyduck;Meowth;Magnemite;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_psyduck.png
Pokédex;Fácil;Quem é esse Pokémon?;Mew;Snorlax;Golduck;Kakuna;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_golduck.png
Pokédex;Fácil;Quem é esse Pokémon?;Bellsprout;Gengar;Hitmonchan;Mankey;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_mankey.png
Pokédex;Fácil;Quem é esse Pokémon?;Primeape;Mew;Goldeen;Kakuna;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_primeape.png
Pokédex;Fácil;Quem é esse Pokémon?;Clefable;Growlithe;Wigglytuff;Venomoth;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_growlithe.png
Pokédex;Fácil;Quem é esse Pokémon?;Rattata;Nidoran M;Arcanine;Rapidash;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_arcanine.png
Pokédex;Fácil;Quem é esse Pokémon?;Psyduck;Gloom;Bulbasaur;Poliwag;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_poliwag.png
Pokédex;Fácil;Quem é esse Pokémon?;Poliwhirl;Seaking;Mankey;Spearow;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_poliwhirl.png
Pokédex;Fácil;Quem é esse Pokémon?;Abra;Poliwrath;Rattata;Shellder;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_poliwrath.png
Pokédex;Fácil;Quem é esse Pokémon?;Dragonair;Pikachu;Abra;Blastoise;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_abra.png
Pokédex;Fácil;Quem é esse Pokémon?;Onix;Alakazam;Venomoth;Kadabra;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_kadabra.png
Pokédex;Fácil;Quem é esse Pokémon?;Alakazam;Primeape;Cubone;Gyarados;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_alakazam.png
Pokédex;Fácil;Quem é esse Pokémon?;Grimer;Machop;Pidgeotto;Abra;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_machop.png
Pokédex;Fácil;Quem é esse Pokémon?;Venonat;Magikarp;Machoke;Ivysaur;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_machoke.png
Pokédex;Fácil;Quem é esse Pokémon?;Seel;Kangaskhan;Grimer;Machamp;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_machamp.png
Pokédex;Fácil;Quem é esse Pokémon?;Bellsprout;Dratini;Golbat;Doduo;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_bellsprout.png
Pokédex;Fácil;Quem é esse Pokémon?;Magnemite;Weepinbell;Rapidash;Ninetales;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_weepinbell.png
Pokédex;Fácil;Quem é esse Pokémon?;Alakazam;Weedle;Victreebel;Gengar;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_victreebel.png
Pokédex;Fácil;Quem é esse Pokémon?;Poliwrath;Metapod;Rhydon;Tentacool;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_tentacool.png
Pokédex;Fácil;Quem é esse Pokémon?;Tentacruel;Weedle;Graveler;Venusaur;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_tentacruel.png
Pokédex;Fácil;Quem é esse Pokémon?;Porygon;Geodude;Squirtle;Moltres;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_geodude.png
Pokédex;Fácil;Quem é esse Pokémon?;Pidgeot;Nidoqueen;Graveler;Tangela;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_graveler.png
Pokédex;Fácil;Quem é esse Pokémon?;Dugtrio;Porygon;Diglett;Golem;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_golem.png
Pokédex;Fácil;Quem é esse Pokémon?;Ponyta;Hypno;Omastar;Machop;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_ponyta.png
Pokédex;Fácil;Quem é esse Pokémon?;Pidgeotto;Rapidash;Exeggcute;Magikarp;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_rapidash.png
Pokédex;Fácil;Quem é esse Pokémon?;Muk;Onix;Slowpoke;Squirtle;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_slowpoke.png
Pokédex;Fácil;Quem é esse Pokémon?;Nidorino;Jigglypuff;Machoke;Slowbro;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_slowbro.png
Pokédex;Fácil;Quem é esse Pokémon?;Magnemite;Grimer;Vaporeon;Meowth;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_magnemite.png
Pokédex;Fácil;Quem é esse Pokémon?;Ponyta;Magneton;Golem;Tentacruel;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_magneton.png
Pokédex;Fácil;Quem é esse Pokémon?;Horsea;Rhyhorn;Farfetch'd;Graveler;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_farfetchd.png
Pokédex;Fácil;Quem é esse Pokémon?;Drowzee;Kabuto;Omastar;Doduo;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_doduo.png
Pokédex;Fácil;Quem é esse Pokémon?;Dodrio;Electabuzz;Pidgeot;Kakuna;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_dodrio.png
Pokédex;Fácil;Quem é esse Pokémon?;Poliwhirl;Seel;Electrode;Mankey;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_seel.png
Pokédex;Fácil;Quem é esse Pokémon?;Raticate;Zapdos;Dewgong;Gengar;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_dewgong.png
Pokédex;Fácil;Quem é esse Pokémon?;Chansey;Mankey;Caterpie;Grimer;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_grimer.png
Pokédex;Fácil;Quem é esse Pokémon?;Muk;Oddish;Kabutops;Lickitung;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_muk.png
Pokédex;Fácil;Quem é esse Pokémon?;Nidoran F;Shellder;Kabuto;Dugtrio;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_shellder.png
Pokédex;Fácil;Quem é esse Pokémon?;Flareon;Moltres;Cloyster;Pidgeot;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_cloyster.png
Pokédex;Fácil;Quem é esse Pokémon?;Goldeen;Mankey;Slowpoke;Gastly;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_gastly.png
Pokédex;Fácil;Quem é esse Pokémon?;Haunter;Parasect;Rapidash;Weepinbell;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_haunter.png
Pokédex;Fácil;Quem é esse Pokémon?;Hitmonchan;Gengar;Nidoran M;Dugtrio;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_gengar.png
Pokédex;Fácil;Quem é esse Pokémon?;Lapras;Bulbasaur;Onix;Pikachu;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_onix.png
Pokédex;Fácil;Quem é esse Pokémon?;Dugtrio;Vaporeon;Graveler;Drowzee;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_drowzee.png
Pokédex;Fácil;Quem é esse Pokémon?;Hypno;Wartortle;Electabuzz;Charmander;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_hypno.png
Pokédex;Fácil;Quem é esse Pokémon?;Kakuna;Krabby;Raticate;Mr. Mime;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_krabby.png
Pokédex;Fácil;Quem é esse Pokémon?;Dragonair;Seadra;Kingler;Omanyte;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_kingler.png
Pokédex;Fácil;Quem é esse Pokémon?;Cubone;Electabuzz;Zubat;Voltorb;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_voltorb.png
Pokédex;Fácil;Quem é esse Pokémon?;Electrode;Shellder;Koffing;Ditto;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_electrode.png
Pokédex;Fácil;Quem é esse Pokémon?;Tauros;Exeggcute;Diglett;Hitmonchan;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_exeggcute.png
Pokédex;Fácil;Quem é esse Pokémon?;Machamp;Kabutops;Exeggutor;Magnemite;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_exeggutor.png
Pokédex;Fácil;Quem é esse Pokémon?;Venusaur;Meowth;Horsea;Cubone;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_cubone.png
Pokédex;Fácil;Quem é esse Pokémon?;Marowak;Diglett;Nidoran M;Venomoth;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_marowak.png
Pokédex;Fácil;Quem é esse Pokémon?;Exeggcute;Hitmonlee;Ponyta;Tentacruel;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_hitmonlee.png
Pokédex;Fácil;Quem é esse Pokémon?;Oddish;Pinsir;Hitmonchan;Weezing;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_hitmonchan.png
Pokédex;Fácil;Quem é esse Pokémon?;Krabby;Snorlax;Magneton;Lickitung;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_lickitung.png
Pokédex;Fácil;Quem é esse Pokémon?;Koffing;Venonat;Lapras;Raichu;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_koffing.png
Pokédex;Fácil;Quem é esse Pokémon?;Chansey;Weezing;Rattata;Kadabra;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_weezing.png
Pokédex;Fácil;Quem é esse Pokémon?;Fearow;Gengar;Rhyhorn;Magmar;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_rhyhorn.png
Pokédex;Fácil;Quem é esse Pokémon?;Doduo;Parasect;Tentacool;Rhydon;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_rhydon.png
Pokédex;Fácil;Quem é esse Pokémon?;Chansey;Kangaskhan;Ivysaur;Seadra;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_chansey.png
Pokédex;Fácil;Quem é esse Pokémon?;Rhyhorn;Tangela;Machop;Rattata;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_tangela.png
Pokédex;Fácil;Quem é esse Pokémon?;Electrode;Wigglytuff;Kangaskhan;Charizard;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_kangaskhan.png
Pokédex;Fácil;Quem é esse Pokémon?;Charizard;Rattata;Exeggutor;Horsea;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_horsea.png
Pokédex;Fácil;Quem é esse Pokémon?;Seadra;Rhyhorn;Exeggcute;Pidgeotto;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_seadra.png
Pokédex;Fácil;Quem é esse Pokémon?;Lickitung;Goldeen;Seaking;Weedle;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_goldeen.png
Pokédex;Fácil;Quem é esse Pokémon?;Aerodactyl;Golbat;Seaking;Hitmonchan;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_seaking.png
Pokédex;Fácil;Quem é esse Pokémon?;Rattata;Lapras;Bulbasaur;Staryu;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_staryu.png
Pokédex;Fácil;Quem é esse Pokémon?;Starmie;Venomoth;Dodrio;Pikachu;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_starmie.png
Pokédex;Fácil;Quem é esse Pokémon?;Moltres;Mr. Mime;Rhyhorn;Zapdos;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_mrmime.png
